墨沫的池边花田,,,,,,,,,,,,
墨沫\Mormya,美味仙贝\pep1,不是管人吃\pep2,墨沫的狗\pep2,动感DJ\dj,,,,,,,,
id,是否为选项,选项描述,选项事件1,选项事件2,选项事件3,选项事件4,玩家标识,表情包标识,表情包id,内容,角色姓名,nextId
0,,,,,,,1,,,终于！！！,1,1
1,,,,,,,1,,,上大师了！！！,1,2
2,,,,,,,1,1,我的1,,1,3
3,,,,,,,2,,,恭喜恭喜！,3,4
4,,,,,,,2,1,打call,,2,5
5,,,,,,,2,1,羡慕,,5,6
6,,,,,,,2,,,太强了主播,4,7
7,,,,,,,2,,,下次能不能带我上分,4,8
8,,,,,,,1,,,谢谢大家的礼物！,1,9
9,,,,,,,1,,,不妙，说不出话了...,1,10
10,,,,,,,2,1,打call,,2,11
11,,,,,,,2,1,打call,,4,12
12,,,,,,,1,,,自从这个月说要单排上大师以来,1,13
13,,,,,,,1,,,中间好几次尝试都失败了,1,14
14,,,,,,,1,,,然后被很多人说一定做不到,1,15
15,,,,,,,1,, ,当时非常消沉,1,16
16,,,,,,,1,,,但是完全没想到还有这么多人支持我,1,17
17,,,,,,,1,,,还是决定坚持到现在！,1,18
18,,,,,,,2,1,爱心1,,5,19
19,,,,,,,2,,,我一直都相信你的！,3,20
20,,,,,,,2,,,支持主播！,2,21
21,,,,,,,1,,,不管有没有成功,1,22
22,,,,,,,1,,,付出努力一定不会白费的,1,23
23,,,,,,,1,,,我想把这一点传达给大家,1,24
24,,,,,,,1,,,真的非常感谢大家,1,25
25,,,,,,,1,,,谢谢大家愿意相信我,1,26
26,,,,,,,2,,,以后也会支持主播的！！,4,27
27,,,,,,,2,,,下次上大师吧,2,28
28,,,,,,,2,1,爱心,,3,29
29,,,,,,,2,,,主播下一个目标是什么,5,30
30,,,,,,,1,,,下一个目标,1,31
31,1,结局-游戏势,25,,,,1,,,当然是比赛了！,1,-1
